,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
879,100000,190.0,2522,13.243380328000008,"[3, 4, 1, 2, 2, 4, 4, 3, 4, 3]",130,100000,73
880,0,110.0,2522,13.327447253999999,"[4, 1, 2, 3, 0, 0, 2, 4, 3, 0]",130,100000,74
881,100000,210.0,2567,13.45219325,"[4, 3, 4, 4, 4, 3, 4, 4, 3, 0]",130,100000,74
882,0,106.0,2567,13.538945892000008,"[1, 0, 1, 4, 2, 1, 1, 2, 3, 0]",130,100000,75
883,100000,218.0,2620,13.676731085999997,"[2, 2, 2, 4, 4, 4, 4, 2, 4, 4]",130,100000,75
884,0,154.0,2620,13.756495472000005,"[0, 1, 0, 2, 3, 3, 2, 3, 4, 3]",130,100000,76
885,100000,205.0,2665,13.888781799000007,"[0, 3, 2, 4, 3, 3, 4, 4, 4, 3]",130,100000,76
886,0,103.0,2665,13.975413371999998,"[3, 0, 0, 2, 1, 1, 1, 4, 1, 3]",130,100000,77
887,100000,211.0,2722,14.115636888000004,"[4, 0, 4, 4, 3, 4, 4, 4, 1, 4]",130,100000,77
888,0,119.0,2722,14.206801976000001,"[4, 2, 1, 3, 2, 2, 1, 2, 1, 1]",130,100000,78
889,100000,205.0,2773,14.342560819000006,"[4, 3, 3, 4, 2, 4, 2, 4, 1, 4]",130,100000,78
890,0,132.0,2773,14.430249210999996,"[2, 3, 3, 1, 1, 3, 2, 0, 4, 1]",130,100000,79
891,100000,192.0,2808,14.547405806999997,"[4, 3, 3, 4, 2, 3, 3, 2, 4, 2]",130,100000,79
892,0,158.0,2808,14.633576548,"[1, 2, 0, 3, 2, 4, 0, 2, 3, 4]",130,100000,80
893,100000,196.0,2832,14.75443600500001,"[1, 2, 4, 3, 2, 4, 3, 2, 3, 4]",130,100000,80
894,0,178.0,2832,14.841628958999998,"[3, 0, 1, 3, 2, 4, 4, 2, 4, 4]",130,100000,81
895,100000,194.0,2857,14.956134894000009,"[3, 0, 3, 3, 2, 4, 4, 2, 4, 4]",130,100000,81
896,0,82.0,2857,15.04357077000001,"[1, 3, 0, 4, 0, 0, 2, 0, 1, 3]",130,100000,82
897,100000,159.0,2899,15.174717903000008,"[3, 3, 4, 4, 0, 0, 3, 3, 3, 3]",130,100000,82
898,0,150.0,2899,15.262872000000009,"[3, 3, 3, 2, 1, 2, 0, 3, 4, 1]",130,100000,83
899,100000,207.0,2931,15.387835134999996,"[4, 3, 3, 4, 4, 2, 3, 4, 4, 1]",130,100000,83
